group,Source,Record.Type,ID,species,spp,Latitude,Longitude,Collector,Date collected,Sex,Data.Resource.Name
ALA,Atlas of Living Australia,Museum Record,2279_3_6804,laevis,Aipysurus laevis laevis,-18.84581375,146.6673126,,2004-04-27,,Ocean Biogeographic Information System
ALA,Atlas of Living Australia,Museum Record,2434_3_6756,laevis,Aipysurus laevis laevis,-16.89432716,146.4456787,,2004-04-28,,Ocean Biogeographic Information System
ALA,Atlas of Living Australia,Museum Record,009027-SCCMR-CV195509,laevis,Aipysurus laevis laevis,-23.29500008,151.5950012,CMAR,2004-04-21,,Ocean Biogeographic Information System
ALA,Atlas of Living Australia,Museum Record,020364-SCCMR-CV195509,laevis,Aipysurus laevis laevis,-23.84499931,152.4049988,CMAR,2004-04-15,,Ocean Biogeographic Information System
ALA,Atlas of Living Australia,Museum Record,,laevis,Aipysurus laevis laevis,-19.16819429,146.8580246,Charmaine Chammy Thomas,2016-07-06,,Individual Sightings
ALA,Atlas of Living Australia,Museum Record,R.69517,laevis,Aipysurus laevis laevis,-9.483,147.15,"Parker, F",1975-07-30,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.107163,laevis,Aipysurus laevis laevis,-22.166,152.033,"Webber, P",,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44397,laevis,Aipysurus laevis laevis,-21.866,153.666,Heatwole,1974-07-07,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44503,laevis,Aipysurus laevis laevis,-21.866,153.666,,1971-07-01,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44504,laevis,Aipysurus laevis laevis,-21.866,153.666,,1971-07-01,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44508,laevis,Aipysurus laevis laevis,-21.866,153.666,,1974-07-04,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44510,laevis,Aipysurus laevis laevis,-22.166,152.033,,1974-07-04,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.44505,laevis,Aipysurus laevis laevis,-21.866,153.666,,1971-07-01,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.95223,laevis,Aipysurus laevis laevis,-12.85,141.666,CSIRO,1978-07-27,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.95240,laevis,Aipysurus laevis laevis,-14.2,141.283,CSIRO,1978-07-02,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,DTD1329,laevis,Aipysurus laevis laevis,-12.97,143.52,Donald F Thomson,1932-07-23,Female,Museums Victoria provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R02522,laevis,Aipysurus laevis laevis,-14.2,136.2,,,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R58822,laevis,Aipysurus laevis laevis,-12.266667,126.083333,"KENNEALLY,K.F.",1977-07-20,,Western Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,254475,laevis,Aipysurus laevis laevis,-21.84,114.18,TPC,2015-07-30,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,254965,laevis,Aipysurus laevis laevis,-21.87,114.16,BKJ,2015-07-30,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,358532,laevis,Aipysurus laevis laevis,-24.88,152.49,NAD,2010-07-17,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,358563,laevis,Aipysurus laevis laevis,-24.88,152.49,NAD,2010-07-17,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,358577,laevis,Aipysurus laevis laevis,-24.88,152.49,TRD,2010-07-17,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,360360,laevis,Aipysurus laevis laevis,-23.2,150.97,NAD,2010-07-13,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,88268,laevis,Aipysurus laevis laevis,-10.45,144.43,JS,2015-07-31,,Reef Life Survey: Global reef fish dataset
ALA,Atlas of Living Australia,Museum Record,258122-39125007,laevis,Aipysurus laevis laevis,-20.945,150.335,,2005-12-03,,"CSIRO, Benthic Plant Invertebrate and Fish Biodiversity, Great Barrier Reef, Northeast Australia, 2003-2006 - Version 7"
